,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
42130,p46013,7,22979,252.0,203202.895,54133.453,149069.442,2.557,356.081
42131,p46013,7,22980,252.0,115119.017,83579.384,31539.633,7.275,342.292
42132,p46013,7,22981,252.0,74549.043,37695.082,36853.961,0.345,350.062
42133,p46013,7,23357,258.0,131574.204,121552.582,10021.622,16.896,335.623
42134,p46013,7,23358,252.0,99450.113,71960.582,27489.531,5.152,335.623
42135,p46013,7,23359,264.0,116320.882,89716.566,26604.316,6.925,331.929
42136,p46013,7,23361,270.0,83124.739,53549.247,29575.492,2.452,352.762
42137,p46013,8,22218,270.0,57807.348,44978.698,12828.651,1.26,376.651
42138,p46013,8,23360,246.0,87393.375,52293.178,35100.196,2.285,338.528
42139,p46015,8,28673,240.0,154812.139,145309.952,9502.187,20.857,239.642
42140,p46015,8,28674,258.0,137556.192,126334.739,11221.453,17.749,229.26
42141,p46015,8,29053,240.0,101717.857,82324.434,19393.423,6.904,294.468
42142,p46015,8,29054,270.0,57228.127,44742.294,12485.834,1.198,302.675
42143,p46015,8,29433,258.0,126769.255,108783.037,17986.218,12.849,303.6
42144,p46015,8,30193,264.0,142178.022,144070.94,-1892.918,25.094,291.757
42145,p46015,9,29055,264.0,179476.236,165243.165,14233.071,25.688,207.294
42146,p46015,9,29056,270.0,155770.458,143103.712,12666.747,20.959,199.299
42147,p46015,9,29434,264.0,67387.988,52176.468,15211.52,2.21,313.125
42148,p46015,9,29435,258.0,80095.86,59515.536,20580.323,3.145,303.79
42149,p46015,9,29436,264.0,128600.075,110611.634,17988.44,13.634,294.822
42150,p46015,9,29813,252.0,150819.135,139092.69,11726.444,24.498,291.757
42151,p46015,9,29814,252.0,104932.281,88190.75,16741.53,12.978,291.757
42152,p46015,9,29815,252.0,73845.58,55427.612,18417.968,2.673,294.605
42153,p46015,9,29816,264.0,93153.435,79927.852,13225.583,6.612,286.562
42154,p46015,9,30194,270.0,97356.356,91324.79,6031.566,13.574,291.757
42155,p46015,9,30195,270.0,66547.752,54522.547,12025.204,2.592,285.471
42156,p46017,7,27912,264.0,19574.801,22566.421,-2991.62,0.9,256.872
42157,p46017,7,28293,246.0,102308.491,94786.496,7521.995,9.146,241.883
42158,p46017,8,27913,270.0,55454.774,54805.733,649.042,2.52,243.51
42159,p46017,8,27915,258.0,97548.241,94453.993,3094.247,9.386,219.735
42160,p46017,8,28294,282.0,77484.0,78682.639,-1198.639,6.229,229.26
42161,p46017,8,28295,276.0,56478.237,52499.382,3978.854,2.219,217.239
42162,p46017,8,28675,258.0,125906.186,113582.378,12323.809,13.936,214.474
42163,p46017,9,27914,264.0,76929.178,74319.936,2609.242,5.385,230.887
42164,p46019,7,23709,264.0,79341.28,117184.995,-37843.715,16.939,191.098
42165,p46019,7,24843,264.0,90790.395,47592.615,43197.78,1.872,126.575
42166,p46019,7,24844,270.0,87923.747,79710.472,8213.275,6.658,120.982
42167,p46019,7,24845,258.0,142803.04,157230.529,-14427.489,27.72,76.711
42168,p46019,7,25223,264.0,206528.843,112512.357,94016.486,14.573,98.132
42169,p46019,7,25224,282.0,233608.262,105529.595,128078.667,13.834,97.195
42170,p46019,7,25226,270.0,101384.847,111424.988,-10040.141,15.027,68.645
