,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
14879,p21027,1,50803,334.344,111011.671,123928.489,-12916.818,14.379,82.827
14880,p21027,1,51183,317.604,49070.263,63277.532,-14207.269,3.06,69.536
14881,p21027,1,51184,355.639,43892.175,40886.248,3005.927,0.577,82.457
14882,p21027,2,51562,326.333,37686.380999999994,57990.331,-20303.95,2.489,57.332
14883,p21027,2,51563,461.581,42345.217000000004,37149.855,5195.362,0.27,69.52
14884,p21027,2,51564,419.001,60703.295999999995,66497.915,-5794.619,3.727,82.367
14885,p21027,2,51565,487.383,70188.969,75475.319,-5286.35,5.062,94.716
14886,p21027,2,51942,526.999,52497.14400000001,70766.998,-18269.854,4.538,72.157
14887,p21027,2,51943,498.069,67750.303,72537.951,-4787.648,4.792,67.336
14888,p21027,2,51944,383.475,57385.68000000001,66570.168,-9184.488,3.945,79.102
14889,p21027,2,52324,307.42,115831.63299999999,116132.4,-300.767,12.038,136.702
14890,p21029,2,50427,90.265,97641.325,37592.45,60048.875,0.906,56.608
14891,p21029,2,50428,76.208,365386.078,130867.707,234518.371,6.466,56.765
14892,p21029,2,50429,255.422,414378.34,111395.565,302982.775,4.855,74.64
14893,p21029,2,50808,60.141,174014.47,160642.325,13372.145,9.346,66.287
14894,p21029,2,50809,210.617,263316.305,226899.029,36417.276,6.22,67.187
14895,p21031,2,53462,369.919,47250.426,60480.744,-13230.318,3.756,52.91
14896,p21031,2,53463,711.706,79619.579,95630.934,-16011.355,12.48,107.279
14897,p21031,2,53841,436.786,41345.732,56317.159,-14971.427,2.967,46.016
14898,p21031,2,53842,252.754,66359.88500000001,61720.213,4639.672,3.799,44.091
14899,p21031,2,53843,351.905,57391.53,74379.847,-16988.317,12.733,20.964
14900,p21031,2,53844,434.553,56764.575000000004,68207.547,-11442.972,8.942,20.964
14901,p21031,2,54221,377.352,54536.24,72115.931,-17579.691,4.985,57.42
14902,p21031,2,54222,430.077,30325.343,41179.405,-10854.062,1.034,29.989
14903,p21033,2,53833,562.327,44692.663,52764.675,-8072.012,4.501,134.835
14904,p21033,2,53834,523.042,69826.225,79860.989,-10034.764,5.429,125.817
14905,p21033,2,54212,742.165,70621.967,67308.735,3313.232,5.662,161.902
14906,p21033,2,54213,589.856,36806.613,38131.295,-1324.682,0.382,157.864
14907,p21033,2,54214,456.092,69452.988,73769.777,-4316.789,4.414,137.767
14908,p21033,2,54593,773.964,85433.929,56991.218,28442.711,5.721,143.341
14909,p21033,2,54594,712.712,90455.988,74413.578,16042.41,8.781,143.341
14910,p21033,2,54974,742.029,90666.942,83871.595,6795.347,6.778,127.86
14911,p21035,2,56110,346.712,67446.2,57333.751,10112.449,9.038,242.126
14912,p21035,2,56111,273.746,65257.476,36680.042,28577.434,0.255,219.035
14913,p21035,2,56112,421.029,151503.015,87352.128,64150.887,17.15,211.089
14914,p21035,2,56490,185.86,66236.069,41419.911,24816.158,4.824,242.126
14915,p21035,2,56491,129.951,239499.762,36680.099,202819.663,0.255,230.567
14916,p21035,2,56492,449.641,98875.925,84298.35,14577.575,8.142,238.477
14917,p21035,2,56870,661.683,63335.778000000006,59613.052,3722.726,3.92,248.49
14918,p21035,2,56871,691.877,92560.03499999999,78667.173,13892.862,9.029,242.208
14919,p21035,2,56872,773.731,48599.759,52441.198,-3841.439,2.691,246.966
14920,p21037,1,45876,10.31,1728771.843,47071.918,1681699.925,0.18,196.486
14921,p21037,1,46257,88.339,269187.648,37145.778,232041.87,0.127,191.225
14922,p21037,1,46637,243.744,241349.434,138399.826,102949.608,6.466,199.749
14923,p21039,2,55725,793.633,87157.789,93946.72,-6788.931,13.253,260.465
